theo,Theo,0,"Theo -- codebase intelligence agent that maintains a persistent, git-versioned knowledge graph of a software repository. Exposes graph operations via an MCP server so coding assistants can query architecture and dependencies, and annotate the graph across sessions.","Two-layer storage: CSV files under `.theo/` are the versioned source of truth; a LadybugDB file under `.theo/db/theo.db` is rebuilt on demand as the runtime query store (gitignored). The package is installed as a `uv tool` and ships three user-facing surfaces: the `theo` CLI, an MCP server (stdio transport) consumed by Claude Code/Codex/Cursor, and an optional Flask UI. Skill markdown files bundled with the wheel drive coding-agent behavior and are copied into each target project by `theo use`. The repo dogfoods itself -- `theo use` was run on this repo, producing `.mcp.json`, `.codex/config.toml`, and mirrored skill files under `.claude/skills/theo/` and `.agents/skills/theo/`; the `.theo/` CSVs are committed so the graph is shared across contributors.",8e6d69b3655ad258bc8dba115c644c916b30fb16
graph_core,Graph Core,1,"The core graph engine: schema definitions, KuzuDB operations, copy-on-write lifecycle, and git helpers. This is the substrate every other subsystem sits on.","Internally exposed as private modules (`_schema`, `_db`, `_cow`, `_git`) — anything prefixed with `_` is considered package-internal even though Python does not enforce it. All writes go through the COW pattern in `_cow.py` to preserve crash safety; reads use a dedicated read-only connection to prevent accidental mutation.",c47921d18e3b269886d0d301a746bc937c5dff2c
mcp_interface,MCP Interface,1,The MCP (Model Context Protocol) server that exposes Theo's graph operations as tools to coding agents over stdio.,"Six tools: `theo_stats`, `theo_query`, `theo_upsert_node`, `theo_upsert_edge`, `theo_delete_node`, `theo_delete_edge`. Tool handlers are factored out from the `FastMCP` registration so they remain unit-testable. Every write wraps a COW begin→commit/abort envelope and, on success, re-exports all CSVs — this is the moment the graph becomes durable.",c47921d18e3b269886d0d301a746bc937c5dff2c
cli_commands,CLI Commands,1,"The Typer-based command-line interface. Entry point `theo` dispatches to `use`, `serve`, `stats`, `reload`, and `ui` subcommands.",Each subcommand lives in its own module under `src/theo/cli/` and exposes a `run(project_dir_str)` function; `main.py` lazy-imports them so `theo --help` stays fast and optional deps load only on demand. `reload` exists specifically for the case where a user edits `.theo/*.csv` by hand (or pulls changes to them) and needs the runtime DB refreshed without restarting an MCP server.,d009f2a65db235124aa95065178bad092ee05656
ui_server,UI Server,1,"Optional Flask + vis.js visual browser for the graph, served locally at 127.0.0.1:7777.",Flask is an optional dependency (`theo[ui]`); `_ensure_flask()` raises a user-friendly error if absent. The entire HTML/CSS/JS is an embedded template in `ui.py` — hence the ruff E501 exemption in `pyproject.toml`. A fresh read-only DB connection is opened per request because the MCP server uses COW atomic renames and a cached handle would read stale data.,c47921d18e3b269886d0d301a746bc937c5dff2c
skills_bundle,Skills Bundle,1,Markdown skill files shipped inside the wheel and copied into target projects by `theo use`.,"Included in the wheel via `[tool.hatch.build.targets.wheel].include = [""src/theo/skills/theo/*.md""]` -- critical, otherwise `importlib.resources` finds nothing at runtime. Copied into both `.claude/skills/theo/` and `.agents/skills/theo/` on `theo use` for cross-tool compatibility. SKILL.md is the canonical instruction agents read on the `theo` trigger; it codifies the lens pipeline plus query-before-act, exploration, self-reflection, and post-change protocols. Any rewording of protocols here is effectively a behavioral change for every consumer project.",8e6d69b3655ad258bc8dba115c644c916b30fb16
tests,Tests,1,"Test suite split by cost: unit (no DB), integration (real KuzuDB), e2e (subprocess-driven).","Markers in `pyproject.toml` let CI deselect expensive tests: `-m 'not integration'`. Unit tests cover pure-Python logic (schema validation, COW file surgery, config merging, UI helpers); integration tests exercise KuzuDB through `_db.py`; e2e tests shell out to the installed `theo` binary via subprocess. The `tmp_theo_project` fixture in `conftest.py` produces a fully-formed `.theo/` layout so serve/stats tests don't need `theo use`.",c47921d18e3b269886d0d301a746bc937c5dff2c
graph_schema,Graph Schema,2,"Single source of truth for node tables, relationship tables, primary keys, allowed fields, CSV filenames, column orders, and Cypher DDL.","Keeping DDL, CSV column ordering, and field allowlists in one module prevents drift between the KuzuDB schema, CSV export layout, and upsert validation. Headerless CSV is a hard requirement of KuzuDB's `COPY FROM`, so `_db.export_csv` uses `COPY ... TO` without headers; changes here must stay aligned with that fact.",c47921d18e3b269886d0d301a746bc937c5dff2c
graph_db,Graph DB Ops,2,"KuzuDB operations: schema init, upsert/delete of nodes and edges, CSV export, CSV rebuild, stats, read-only query.","Every function opens a fresh connection (stateless) so the same helpers work against either the live DB or a COW temp copy. Edge upsert is a 3-statement dance (MERGE, then SET description, then SET git_revision) because KuzuDB does not support parameter binding in SET combined with MERGE in a single statement. Delete guardrails reject orphaning (Concepts with children via PartOf/BelongsTo) and require explicit `detach=True` to drop incident edges.",c47921d18e3b269886d0d301a746bc937c5dff2c
cow_lifecycle,Copy-on-Write Lifecycle,2,"Copy-on-write file lifecycle for the KuzuDB database: begin copies DB+WAL to a temp path, commit atomically renames back, abort cleans up.","Commits rename both the db and its WAL sidecar; if the tmp has no WAL but the original did, the stale WAL is unlinked to keep them consistent. `os.rename` is relied on for atomicity — same-filesystem constraint is implicit. No fsync of the parent directory; a crash mid-rename is acceptable because CSVs are the ultimate source of truth.",c47921d18e3b269886d0d301a746bc937c5dff2c
